airline_name,overall_rating,verified,aircraft,type_of_traveller,seat_type,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended,time_before_review,delay_cancellation,review_date,country
Hong Kong Airlines,4.0,True,A350,Couple Leisure,Economy Class,1.0,2.0,1.0,2.0,2.15,1.81,4.0,no,1 month,False,2018-12-01,Thailand
Hong Kong Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,2.15,1.81,1.0,no,1 month,False,2019-04-01,Thailand
Hong Kong Airlines,7.0,True,Unknown,Solo Leisure,Economy Class,3.0,3.0,3.0,3.0,3.0,1.81,3.0,yes,2-3 months,False,2019-05-01,Thailand
Hong Kong Airlines,1.0,True,Others,Business,Economy Class,4.0,4.0,2.0,5.0,4.0,1.81,5.0,yes,1 month,False,2019-10-01,Thailand
Hong Kong Airlines,3.0,True,Unknown,Business,Economy Class,2.0,1.0,1.0,1.0,2.15,1.81,1.0,no,1 month,False,2019-11-01,Thailand
Hong Kong Airlines,1.0,True,Unknown,Couple Leisure,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,no,2-3 months,True,2020-04-01,Thailand
Hong Kong Airlines,9.0,True,Others,Solo Leisure,Business Class,5.0,5.0,4.0,5.0,1.0,1.81,5.0,yes,1 month,False,2022-12-01,Thailand
China Southern Airlines,9.0,True,Unknown,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2021-12-01,Thailand
China Southern Airlines,1.0,True,Unknown,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.81,1.0,no,1 month,False,2023-01-01,Thailand
China Southern Airlines,8.0,True,Boeing 787-9,Solo Leisure,Economy Class,1.0,5.0,4.0,4.0,4.0,1.81,5.0,yes,1 month,False,2024-01-01,Thailand
China Airlines,1.0,True,A330-300,Business,Economy Class,4.0,4.0,3.0,1.0,3.0,1.81,2.0,no,1 month,False,2018-10-01,Thailand
China Airlines,9.0,True,Others,Family Leisure,Economy Class,4.0,5.0,4.0,5.0,4.0,1.81,5.0,yes,1 month,False,2018-12-01,Thailand
China Airlines,3.0,True,Boeing 777,Couple Leisure,Economy Class,4.0,4.0,4.0,2.0,3.0,1.81,4.0,yes,1 month,False,2018-12-01,Thailand
China Airlines,1.0,True,Unknown,Family Leisure,Business Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,no,1 month,True,2019-02-01,Thailand
China Airlines,1.0,True,Unknown,Couple Leisure,Premium Economy,2.6,2.87,2.56,2.36,2.15,1.81,1.0,no,1 month,True,2019-08-01,Thailand
China Airlines,6.0,True,A350-900,Business,Economy Class,4.0,3.0,3.0,3.0,4.0,1.81,4.0,yes,1 month,True,2019-10-01,Thailand
China Airlines,6.0,True,Others,Solo Leisure,Economy Class,3.0,4.0,4.0,4.0,1.0,1.81,5.0,yes,1 month,False,2019-12-01,Thailand
Bangkok Airways,1.0,True,Unknown,Solo Leisure,Economy Class,3.0,3.0,2.56,1.0,2.15,1.81,1.0,no,+3 months,False,2017-12-01,Thailand
Bangkok Airways,1.0,True,Unknown,Family Leisure,Economy Class,4.0,5.0,4.0,5.0,2.15,1.81,5.0,yes,1 month,False,2018-04-01,Thailand
Bangkok Airways,1.0,True,Unknown,Family Leisure,Economy Class,1.0,1.0,2.56,1.0,2.15,1.81,1.0,no,1 month,True,2018-04-01,Thailand
Bangkok Airways,8.0,True,A319,Solo Leisure,Economy Class,3.0,5.0,2.0,5.0,2.15,1.81,5.0,yes,1 month,False,2018-05-01,Thailand
Bangkok Airways,5.0,True,A319,Business,Economy Class,3.0,4.0,2.0,4.0,2.0,1.81,2.0,yes,1 month,False,2018-11-01,Thailand
Bangkok Airways,9.0,True,A319,Solo Leisure,Business Class,4.0,5.0,5.0,5.0,2.15,1.81,4.0,yes,1 month,False,2018-12-01,Thailand
Bangkok Airways,3.0,True,A320,Business,Economy Class,2.0,4.0,3.0,3.0,2.15,1.81,2.0,no,1 month,False,2019-01-01,Thailand
Bangkok Airways,9.0,False,Unknown,Couple Leisure,Economy Class,3.0,4.0,1.0,4.0,1.0,1.0,2.0,yes,1 month,False,2019-02-01,Thailand
Bangkok Airways,6.0,True,A320,Couple Leisure,Economy Class,2.0,3.0,3.0,3.0,2.15,1.81,4.0,no,1 month,True,2019-03-01,Thailand
Bangkok Airways,8.0,True,A319,Couple Leisure,Economy Class,4.0,4.0,3.0,2.0,2.15,1.81,3.0,yes,2-3 months,False,2019-03-01,Thailand
Bangkok Airways,9.0,True,Others,Couple Leisure,Economy Class,5.0,5.0,4.0,5.0,1.0,1.81,5.0,yes,1 month,False,2019-03-01,Thailand
Bangkok Airways,8.0,True,A319,Family Leisure,Business Class,5.0,3.0,4.0,5.0,4.0,1.81,4.0,yes,+3 months,False,2019-04-01,Thailand
Bangkok Airways,1.0,True,A319,Family Leisure,Economy Class,4.0,5.0,5.0,4.0,2.15,1.81,5.0,yes,1 month,False,2019-05-01,Thailand
Bangkok Airways,9.0,True,A319,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,4.0,yes,1 month,False,2019-06-01,Thailand
Bangkok Airways,9.0,True,A320,Business,Economy Class,4.0,5.0,5.0,4.0,2.15,1.81,5.0,yes,1 month,False,2019-06-01,Thailand
Bangkok Airways,1.0,True,A320,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,2.0,1.81,5.0,yes,2-3 months,False,2019-07-01,Thailand
Bangkok Airways,6.0,True,A320,Solo Leisure,Economy Class,2.0,4.0,5.0,4.0,2.15,1.81,3.0,yes,1 month,False,2019-10-01,Thailand
Bangkok Airways,8.0,True,Unknown,Solo Leisure,Economy Class,3.0,4.0,5.0,4.0,2.15,1.81,3.0,yes,1 month,False,2019-10-01,Thailand
Bangkok Airways,1.0,True,A319,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2019-12-01,Thailand
Bangkok Airways,6.0,False,A319,Family Leisure,Economy Class,4.0,3.0,4.0,2.0,2.15,1.81,4.0,yes,1 month,False,2020-01-01,Thailand
Bangkok Airways,9.0,True,Unknown,Solo Leisure,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,5.0,yes,1 month,True,2020-03-01,Thailand
Bangkok Airways,8.0,True,A320-200,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,1.81,4.0,yes,2-3 months,False,2020-05-01,Thailand
Bangkok Airways,1.0,True,Unknown,Couple Leisure,Economy Class,1.0,1.0,2.56,1.0,2.15,1.81,1.0,no,+3 months,False,2021-09-01,Thailand
Bangkok Airways,1.0,False,Unknown,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2021-12-01,Thailand
Bangkok Airways,1.0,True,A319,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2022-04-01,Thailand
Bangkok Airways,1.0,True,Unknown,Business,Economy Class,3.0,4.0,2.56,1.0,2.15,1.81,2.0,no,1 month,False,2022-06-01,Thailand
Bangkok Airways,1.0,True,A319,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.81,5.0,yes,1 month,False,2022-10-01,Thailand
Bangkok Airways,4.0,True,Unknown,Family Leisure,Economy Class,2.0,2.0,2.0,2.0,2.15,1.81,2.0,no,1 month,False,2022-10-01,Thailand
Bangkok Airways,1.0,True,A319,Couple Leisure,Economy Class,4.0,4.0,1.0,1.0,2.15,1.81,1.0,no,1 month,False,2022-11-01,Thailand
Bangkok Airways,1.0,True,A319,Family Leisure,Economy Class,3.0,5.0,3.0,5.0,2.15,1.81,5.0,yes,2-3 months,False,2022-12-01,Thailand
Bangkok Airways,1.0,False,A320,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,2.15,1.81,5.0,yes,1 month,False,2022-12-01,Thailand
Bangkok Airways,8.0,True,A320,Couple Leisure,Economy Class,5.0,4.0,2.0,5.0,2.15,1.81,5.0,yes,1 month,False,2023-01-01,Thailand
Bangkok Airways,3.0,True,Unknown,Couple Leisure,Economy Class,3.0,3.0,2.56,2.0,2.15,1.81,2.0,no,1 month,True,2023-02-01,Thailand
Bangkok Airways,8.0,True,Unknown,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,2.15,1.81,4.0,yes,2-3 months,False,2023-02-01,Thailand
Bangkok Airways,8.0,True,A319,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,2.15,1.81,3.0,yes,1 month,True,2023-04-01,Thailand
