airline_name,overall_rating,verified,aircraft,type_of_traveller,seat_type,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended,time_before_review,departure_place,arrival_place,delay_cancellation,review_date
Adria Airways,5.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2012-06-01
Adria Airways,8.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,yes,Unknown,Unknown,Unknown,False,2012-06-01
Adria Airways,9.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,4.0,yes,Unknown,Unknown,Unknown,True,2012-02-01
Adria Airways,5.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,no,Unknown,Unknown,Unknown,False,2012-01-01
Adria Airways,9.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2011-09-01
Adria Airways,9.0,False,Unknown,Unknown,Business Class,2.6,2.87,2.56,2.36,2.15,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2011-09-01
Adria Airways,1.0,False,Unknown,Unknown,Business Class,2.6,2.87,2.56,2.36,2.15,1.81,4.0,yes,Unknown,Unknown,Unknown,True,2011-09-01
Adria Airways,7.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,yes,Unknown,Unknown,Unknown,False,2011-01-01
Adria Airways,5.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,no,Unknown,Unknown,Unknown,False,2011-01-01
Adria Airways,5.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,no,Unknown,Unknown,Unknown,False,2010-10-01
Adria Airways,6.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,1.0,yes,Unknown,Unknown,Unknown,True,2009-11-01
Adria Airways,7.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2009-05-01
Adria Airways,5.0,False,Unknown,Unknown,Economy Class,2.6,2.87,2.56,2.36,2.15,1.81,4.0,yes,Unknown,Unknown,Unknown,False,2009-05-01
Adria Airways,3.0,False,Unknown,Unknown,Unknown,2.6,2.87,2.56,2.36,2.15,1.81,2.45,no,Unknown,Unknown,Unknown,False,2009-02-01
Adria Airways,4.0,False,Unknown,Unknown,Unknown,2.6,2.87,2.56,2.36,2.15,1.81,2.45,no,Unknown,Unknown,Unknown,True,2008-05-01
